round,domain,acc
22,dslr,0.3548387096774194
23,dslr,0.3709677419354839
24,dslr,0.3629032258064516
25,dslr,0.3709677419354839
26,dslr,0.3870967741935484
27,dslr,0.3629032258064516
28,dslr,0.3709677419354839
29,dslr,0.3629032258064516
30,dslr,0.3709677419354839
31,dslr,0.3790322580645161
32,dslr,0.3790322580645161
33,dslr,0.3709677419354839
34,dslr,0.3790322580645161
35,dslr,0.3790322580645161
36,dslr,0.3790322580645161
37,dslr,0.3790322580645161
38,dslr,0.3870967741935484
39,dslr,0.3709677419354839
40,dslr,0.4032258064516129
41,dslr,0.3790322580645161
42,dslr,0.3870967741935484
43,dslr,0.3709677419354839
44,dslr,0.3790322580645161
45,dslr,0.3709677419354839
46,dslr,0.3709677419354839
47,dslr,0.3790322580645161
48,dslr,0.3629032258064516
49,dslr,0.3870967741935484
50,dslr,0.3790322580645161
51,dslr,0.3790322580645161
52,dslr,0.3790322580645161
53,dslr,0.3870967741935484
54,dslr,0.3870967741935484
55,dslr,0.3709677419354839
56,dslr,0.3870967741935484
57,dslr,0.3709677419354839
58,dslr,0.3790322580645161
59,dslr,0.3790322580645161
60,dslr,0.3709677419354839
61,dslr,0.3790322580645161
62,dslr,0.3870967741935484
63,dslr,0.3790322580645161
64,dslr,0.3709677419354839
65,dslr,0.3951612903225806
66,dslr,0.3709677419354839
67,dslr,0.3790322580645161
68,dslr,0.3790322580645161
69,dslr,0.3790322580645161
70,dslr,0.3790322580645161
71,dslr,0.3790322580645161
72,dslr,0.3870967741935484
73,dslr,0.3870967741935484
74,dslr,0.3870967741935484
75,dslr,0.3709677419354838
76,dslr,0.3790322580645161
77,dslr,0.3870967741935484
78,dslr,0.3870967741935484
79,dslr,0.3870967741935484
80,dslr,0.3870967741935484
81,dslr,0.3870967741935484
82,dslr,0.3951612903225806
83,dslr,0.3870967741935484
84,dslr,0.3951612903225806
85,dslr,0.3790322580645161
86,dslr,0.3870967741935484
87,dslr,0.3790322580645161
88,dslr,0.3790322580645161
89,dslr,0.3790322580645161
90,dslr,0.3870967741935484
91,dslr,0.3790322580645161
92,dslr,0.3870967741935484
93,dslr,0.3790322580645161
94,dslr,0.3709677419354839
95,dslr,0.3790322580645161
96,dslr,0.3709677419354839
97,dslr,0.3870967741935484
98,dslr,0.3709677419354839
99,dslr,0.3870967741935484
