round,domain,gamma_dist,beta_dist
29,amazon,2.1443702280521393e-05,8.027784133446403e-06
29,webcam,2.1388375898823142e-05,3.6680244193121325e-06
29,dslr,2.1387881133705378e-05,2.0126033177803038e-06
30,caltech,2.251708065159619e-05,1.2132179108448327e-05
30,amazon,2.240968751721084e-05,8.603761671110988e-06
30,webcam,2.234990824945271e-05,3.880900749209104e-06
30,dslr,2.234891871921718e-05,2.121715397152002e-06
31,caltech,2.349185524508357e-05,1.2803517165593803e-05
31,amazon,2.3379165213555098e-05,9.199866326525807e-06
31,webcam,2.3315311409533024e-05,4.098636964044999e-06
31,dslr,2.331365249119699e-05,2.232716269645607e-06
32,caltech,2.4469802156090736e-05,1.3490926903614309e-05
32,amazon,2.435161150060594e-05,9.814744771574624e-06
32,webcam,2.428417792543769e-05,4.321203505242011e-06
32,dslr,2.4282227968797088e-05,2.345586381125031e-06
33,caltech,2.5451008696109056e-05,1.419439649907872e-05
33,amazon,2.5327346520498395e-05,1.0449611181684304e-05
33,webcam,2.525636227801442e-05,4.548684501060052e-06
33,dslr,2.5254092179238796e-05,2.4603323254268616e-06
34,caltech,2.6435329345986247e-05,1.4914417079125997e-05
34,amazon,2.6306341169402003e-05,1.1104140867246315e-05
34,webcam,2.6230962248519063e-05,4.780680683325045e-06
34,dslr,2.6229157811030746e-05,2.5768342766241403e-06
35,caltech,2.742212382145226e-05,1.5652054571546614e-05
35,amazon,2.728731487877667e-05,1.1778483894886449e-05
35,webcam,2.7208036044612527e-05,5.017390321881976e-06
35,dslr,2.7206348022446036e-05,2.695206148928264e-06
36,caltech,2.841136301867664e-05,1.6406005670432933e-05
36,amazon,2.8270995244383812e-05,1.2474203685997054e-05
36,webcam,2.8187583666294813e-05,5.259194949758239e-06
36,dslr,2.818583743646741e-05,2.8153501716587925e-06
37,caltech,2.940298872999847e-05,1.7174210370285437e-05
37,amazon,2.9256567358970642e-05,1.3189892342779785e-05
37,webcam,2.9169197659939528e-05,5.5066620916477405e-06
37,dslr,2.916730591095984e-05,2.9373700272117276e-06
38,caltech,3.0396447982639074e-05,1.7958105672732927e-05
38,amazon,3.0244351364672184e-05,1.3927924555900972e-05
38,webcam,3.0152499675750732e-05,5.7592210396251176e-06
38,dslr,3.015054971911013e-05,3.0611390684498474e-06
39,caltech,3.1391187803819776e-05,1.8758131773211062e-05
39,amazon,3.1233561458066106e-05,1.4687925613543484e-05
39,webcam,3.1138042686507106e-05,6.017106898070779e-06
39,dslr,3.113539423793554e-05,3.1869130907580256e-06
40,caltech,3.2387266401201487e-05,1.9572304154280573e-05
40,amazon,3.2224575988948345e-05,1.546850398881361e-05
40,webcam,3.21253901347518e-05,6.2800445448374376e-06
40,dslr,3.212178125977516e-05,3.3145229281217325e-06
41,caltech,3.338494570925832e-05,2.0403560483828187e-05
41,amazon,3.32167255692184e-05,1.6269617844955064e-05
41,webcam,3.31140763591975e-05,6.5482008722028695e-06
41,dslr,3.31097689922899e-05,3.4439851788192755e-06
42,caltech,3.438378917053342e-05,2.1251777070574462e-05
42,amazon,3.4209719160571694e-05,1.7091149857151322e-05
42,webcam,3.4103781217709184e-05,6.821610440965742e-06
42,dslr,3.409889177419245e-05,3.5752402709476883e-06
43,caltech,3.53838549926877e-05,2.2114836610853672e-05
43,amazon,3.520378959365189e-05,1.793569026631303e-05
43,webcam,3.509462112560868e-05,7.10030144546181e-06
43,dslr,3.5089178709313273e-05,3.7081911159475567e-06
44,caltech,3.638459020294249e-05,2.299311017850414e-05
44,amazon,3.619916969910264e-05,1.880275522125885e-05
44,webcam,3.608621773310006e-05,7.38425205781823e-06
44,dslr,3.608060069382191e-05,3.843038030026946e-06
45,caltech,3.7385820178315043e-05,2.3886537746875547e-05
