round,domain,gamma_dist,beta_dist
63,caltech,7.589918095618486e-05,0.0068193282932043076
63,amazon,6.466911872848868e-05,0.004699826240539551
63,webcam,6.423878949135542e-05,0.0048139444552361965
63,dslr,7.313856622204185e-05,0.006718426011502743
64,caltech,7.751488010399044e-05,0.006924835965037346
64,amazon,6.598653271794319e-05,0.0047763860784471035
64,webcam,6.555818254128098e-05,0.004891999065876007
64,dslr,7.471910794265568e-05,0.006823869422078133
65,caltech,7.913698209449649e-05,0.007029613945633173
65,amazon,6.730845780111849e-05,0.004852590151131153
65,webcam,6.688293069601059e-05,0.004969688132405281
65,dslr,7.630643085576594e-05,0.006928656250238419
66,caltech,8.076557423919439e-05,0.0071336617693305016
66,amazon,6.863530143164098e-05,0.004928436130285263
66,webcam,6.821210263296962e-05,0.005047011189162731
66,dslr,7.79002730268985e-05,0.007032785098999739
67,caltech,8.240120951086283e-05,0.00723697803914547
67,amazon,6.996659794822335e-05,0.005003923550248146
67,webcam,6.954564014449716e-05,0.0051239654421806335
67,dslr,7.950287545099854e-05,0.00713625643402338
68,caltech,8.404249092563987e-05,0.007339563220739365
68,amazon,7.130223093554378e-05,0.005079049617052078
68,webcam,7.088453276082873e-05,0.0052005513571202755
68,dslr,8.111342322081327e-05,0.007239068858325481
69,caltech,8.569029159843922e-05,0.007441419176757336
69,amazon,7.264190935529768e-05,0.00515381433069706
69,webcam,7.222773274406791e-05,0.005276767536997795
69,dslr,8.273057756014168e-05,0.007341223768889904
70,caltech,8.734475704841316e-05,0.007542545907199383
70,amazon,7.398531306535006e-05,0.005228214897215366
70,webcam,7.357462891377509e-05,0.005352613516151905
70,dslr,8.435494964942336e-05,0.007442721165716648
71,caltech,8.900466491468251e-05,0.007642943412065506
71,amazon,7.533255848102272e-05,0.005302252247929573
71,webcam,7.492562872357666e-05,0.005428088828921318
71,dslr,8.598554995842278e-05,0.007543561048805714
72,caltech,9.066850179806352e-05,0.007742615416646004
72,amazon,7.66842276789248e-05,0.005375923588871956
72,webcam,7.628128514625132e-05,0.005503193475306034
72,dslr,8.76237463671714e-05,0.007643745746463537
73,caltech,9.233708260580897e-05,0.007841560989618301
73,amazon,7.804046617820859e-05,0.005449229851365089
73,webcam,7.764063775539398e-05,0.005577926989644766
73,dslr,8.926770533435047e-05,0.007743275724351406
74,caltech,9.401098941452801e-05,0.007939784787595272
74,amazon,7.940019713714719e-05,0.005522169638425112
74,webcam,7.900403579697013e-05,0.005652288906276226
74,dslr,9.09182708710432e-05,0.007842153310775757
75,caltech,9.569103713147342e-05,0.00803728774189949
75,amazon,8.076371159404516e-05,0.005594742484390736
75,webcam,8.037241059355438e-05,0.005726279690861702
75,dslr,9.257750934921205e-05,0.007940378040075302
76,caltech,9.737789514474571e-05,0.008134071715176105
76,amazon,8.213077671825886e-05,0.005666947923600674
76,webcam,8.174532558768988e-05,0.005799899809062481
76,dslr,9.424317977391183e-05,0.00803795550018549
77,caltech,9.906949708238244e-05,0.00823014136403799
77,amazon,8.350174175575376e-05,0.005738785490393639
77,webcam,8.312214049510658e-05,0.005873149260878563
77,dslr,9.591487469151616e-05,0.008134884759783745
78,caltech,0.00010076709440909326,0.00832549761980772
78,amazon,8.48759082145989e-05,0.00581025518476963
78,webcam,8.45029135234654e-05,0.005946027580648661
78,dslr,9.759067324921489e-05,0.008231169544160366
79,caltech,0.00010246809688396752,0.008420145139098167
79,amazon,8.625313057564199e-05,0.0058813574723899364
79,webcam,8.588747004978359e-05,0.006018535699695349
79,dslr,9.927141945809126e-05,0.008326811715960503
80,caltech,0.00010417192243039608,0.008514085784554482
80,amazon,8.763381629250944e-05,0.005952091421931982
80,webcam,8.72755772434175e-05,0.006090674549341202
80,dslr,0.00010095754987560213,0.008421814069151878
81,caltech,0.00010587999713607132,0.00860732514411211
81,amazon,8.901811088435352e-05,0.006022457033395767
81,webcam,8.866717689670622e-05,0.00616244412958622
81,dslr,0.0001026480458676815,0.008516179397702217
82,caltech,0.00010759138967841864,0.008699864149093628
82,amazon,9.040557779371738e-05,0.006092455238103867
82,webcam,9.006250184029341e-05,0.00623384490609169
82,dslr,0.00010434369323775172,0.008609913289546967
83,caltech,0.00010930685675702989,0.008791709318757057
83,amazon,9.179642074741423e-05,0.006162085570394993
83,webcam,9.146236698143184e-05,0.006304877810180187
83,dslr,0.00010604504495859146,0.008703012950718403
84,caltech,0.00011102668941020966,0.008882862515747547
84,amazon,9.318970842286944e-05,0.006231348495930433
84,webcam,9.286619024351239e-05,0.006375542841851711
84,dslr,0.00010775169357657433,0.008795486763119698
85,caltech,0.00011275103315711021,0.008973328396677971
85,amazon,9.458567365072668e-05,0.006300244480371475
85,webcam,9.427330223843455e-05,0.0064458418637514114
85,dslr,0.00010946328984573483,0.008887335658073425
86,caltech,0.00011448041186667979,0.009063111618161201
86,amazon,9.598466567695141e-05,0.006368773989379406
86,webcam,9.568448876962066e-05,0.006515775341540575
86,dslr,0.00011118041584268212,0.008978564292192459
87,caltech,0.00011621424346230924,0.009152214974164963
87,amazon,9.738668450154364e-05,0.006436936557292938
87,webcam,9.709846926853061e-05,0.006585344206541777
87,dslr,0.00011290339170955122,0.009069174528121948
88,caltech,0.0001179511018563062,0.009240644052624702
88,amazon,9.879173012450337e-05,0.006504734046757221
88,webcam,9.851492359302938e-05,0.006654548458755016
88,dslr,0.00011463198461569846,0.009159170091152191
89,caltech,0.00011969092884100974,0.009328403510153294
89,amazon,0.00010019945329986513,0.006572166457772255
89,webcam,9.993457933887839e-05,0.006723390892148018
89,dslr,0.00011636433191597462,0.009248556569218636
90,caltech,0.00012143433559685946,0.00941549614071846
90,amazon,0.00010161002865061164,0.006639233790338039
90,webcam,0.00010135740740224719,0.006791871041059494
90,dslr,0.00011809932766482234,0.00933733582496643
91,caltech,0.00012318289373070002,0.009501929394900799
91,amazon,0.00010302336886525154,0.0067059374414384365
91,webcam,0.00010278273839503527,0.006859990768134594
91,dslr,0.00011983790318481624,0.00942551251500845
92,caltech,0.00012493549729697406,0.009587704204022884
92,amazon,0.00010443915380164981,0.006772277876734734
92,webcam,0.0001042107178363949,0.006927750539034605
92,dslr,0.00012157898163422942,0.00951309036463499
93,caltech,0.0001266900508198887,0.009672829881310463
93,amazon,0.00010585744166746736,0.006838256027549505
93,webcam,0.00010564218973740935,0.0069951522164046764
93,dslr,0.00012332346523180604,0.009600073099136353
94,caltech,0.00012844798038713634,0.00975730735808611
94,amazon,0.00010727820335887372,0.0069038718938827515
94,webcam,0.00010707727051340044,0.007062196731567383
94,dslr,0.00012507199426181614,0.009686465375125408
95,caltech,0.00013020852929912508,0.009841143153607845
95,amazon,0.00010870155529119074,0.0069691273383796215
95,webcam,0.00010851543629541993,0.007128885015845299
95,dslr,0.00012682453962042928,0.009772269055247307
96,caltech,0.00013197021326050162,0.009924342855811119
96,amazon,0.00011012735194526613,0.00703402329236269
96,webcam,0.00010995619231835008,0.0071952189318835735
96,dslr,0.00012857932597398758,0.00985749065876007
97,caltech,0.00013373410911299288,0.010006909258663654
97,amazon,0.0001115557097364217,0.0070985592901706696
97,webcam,0.00011139956768602133,0.007261198945343494
97,dslr,0.00013033815775997937,0.009942133910953999
98,caltech,0.00013549969298765063,0.010088848881423473
98,amazon,0.00011298595927655697,0.007162737660109997
98,webcam,0.00011284538777545094,0.007326827384531498
98,dslr,0.00013210007455199957,0.010026201605796814
99,caltech,0.00013726722681894898,0.010170167312026024
99,amazon,0.00011441804235801101,0.007226558402180672
99,webcam,0.00011429391452111304,0.0073921047151088715
99,dslr,0.00013386522186920047,0.010109699331223965
